@relation AllCandidas_TRAIN

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute temperatura numeric
@attribute pressao numeric
@attribute umidade numeric
@attribute culture_day {1,2,3}
@attribute class {1,2,3,4,5,6}

@data
19010,49560,17380,19380,251.8,777.4,2493,61.93,99.91,10.86,2,2
35860,42060,23850,32040,403.6,1433,3917,63.09,99.83,12.22,2,5
23440,51920,16880,23180,231.8,743.8,2403,60.09,99.87,13.9,1,1
58960,24840,31510,30650,559.1,1862,5420,63.21,99.91,9.63,1,1
88220,7242,6014,42650,3047,26330,7920,51.76,99.95,17.18,2,6
81430,7249,8193,41090,2315,16240,7767,63.57,99.95,11.35,1,6
34900,30500,26620,17380,456.1,1614,4472,59.84,55.21,5.85,2,2
26990,50850,19090,27210,265.3,828.8,2738,64.3,99.91,10.84,1,5
14960,58690,15300,30760,211.4,629.4,2118,61.6,99.83,11.44,2,4
29560,33800,21890,10870,280.7,838.6,3076,62.68,54.39,5.58,1,2
52920,20740,27720,26350,703.6,2878,5866,59.78,55.56,5.79,2,3
47980,23340,28350,26930,634.3,2412,5523,58.96,55.37,6.12,2,3
52690,25920,27360,25330,598.2,2485,5441,61.16,54.12,6.84,2,5
29910,48320,21380,41240,351,1218,3387,62.56,99.87,12.8,2,5
33930,45400,21970,42970,382.4,1431,3669,60.89,99.91,12.73,2,5
46100,29570,29580,26360,476.4,1742,5014,61.82,54.51,6.07,2,1
14030,63410,11610,32610,171.9,535.4,1629,64.15,73.68,9.68,1,1
79860,7263,6939,42730,2516,18590,7759,64.72,99.91,11.33,1,6
78900,7235,13130,43370,2286,13030,7668,35.35,75.28,34.49,2,6
14540,47370,17250,27220,261.2,982.3,2663,62.08,72.74,8.72,2,3
58930,25520,26400,27580,647.1,2605,5406,59.92,54.2,7.2,2,5
49760,28940,27040,24930,541,2036,4955,61.37,54.12,7.09,2,5
14150,57970,14460,26430,209.1,608.1,2007,61.81,99.99,11.57,2,4
41720,37280,25120,31530,461.6,1713,4364,61.94,99.79,12.47,2,5
91780,7305,6009,66870,3422,27880,7799,59.21,100.19,13.47,1,6
15370,56070,12090,19720,182.9,584,1724,64.59,100.11,11.23,1,2
