@relation AllCandidas_TRAIN_V2

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute culture_day numeric
@attribute class numeric

@data
25250.0,46530.0,21260.0,27490.0,327.7,1085.0,3247.0,2,3
27150.0,53580.0,17600.0,27940.0,237.1,739.7,2481.0,1,1
28030.0,49280.0,19840.0,25410.0,271.8,849.7,2846.0,1,5
18850.0,51400.0,17960.0,21910.0,235.4,728.0,2512.0,2,4
55800.0,21990.0,28060.0,32460.0,667.6,2809.0,5859.0,2,5
37930.0,29310.0,29110.0,20530.0,443.2,1517.0,4701.0,2,4
77270.0,7277.0,9326.0,46090.0,2222.0,14530.0,7553.0,1,6
42910.0,30010.0,28940.0,20980.0,445.7,1586.0,4755.0,2,1
17720.0,52160.0,17210.0,21470.0,232.4,700.8,2399.0,2,4
65450.0,15200.0,28150.0,28310.0,896.6,3495.0,6500.0,2,4
81800.0,7249.0,14800.0,39660.0,1808.0,10070.0,7254.0,1,6
15250.0,59030.0,14610.0,32220.0,216.1,658.7,2066.0,1,5
21500.0,47810.0,19360.0,19840.0,254.7,805.3,2748.0,2,4
47290.0,30230.0,29230.0,28470.0,470.9,1623.0,4837.0,1,5
86530.0,7263.0,6020.0,44070.0,3240.0,28110.0,7929.0,2,6
12320.0,58370.0,10710.0,19520.0,166.1,491.2,1492.0,1,2
21260.0,41210.0,15910.0,12470.0,219.0,667.5,2222.0,1,2
15590.0,39750.0,18160.0,28570.0,364.9,1419.0,3167.0,2,3
12100.0,57790.0,10810.0,18980.0,167.9,492.5,1504.0,1,2
54010.0,19800.0,27760.0,28890.0,732.8,2955.0,5949.0,2,3
32860.0,48070.0,19800.0,25420.0,283.7,920.8,2912.0,1,5
81430.0,7242.0,8302.0,40760.0,2300.0,16060.0,7768.0,1,6
11490.0,59350.0,10440.0,20360.0,165.0,481.7,1454.0,1,2
21010.0,51630.0,19530.0,26880.0,250.6,793.4,2756.0,2,4
53960.0,23300.0,27600.0,22390.0,643.9,2592.0,5580.0,2,3
43590.0,29840.0,29230.0,23170.0,452.4,1606.0,4816.0,2,1
16710.0,52000.0,15950.0,19940.0,235.4,709.2,2263.0,2,2
