loss,accuracy,lr
0.019938935,0.992853343,0.5
0.021467431,0.992765427,0.5
0.020864995,0.993139267,0.5
0.017531447,0.993469059,0.5
0.021568017,0.993073285,0.5
0.018696163,0.993557036,0.5
0.019287763,0.99320519,0.5
0.020539692,0.99267745,0.5
0.019060103,0.993491054,0.5
0.018164739,0.993886888,0.5
0.018980101,0.993623018,0.5
0.017842811,0.993864894,0.5
0.017152628,0.99421674,0.5
0.018658586,0.993073285,0.5
0.016943578,0.994370639,0.5
0.018087154,0.994238734,0.5
0.015011833,0.994832456,0.5
0.01693478,0.994194746,0.5
0.017857889,0.993996859,0.5
0.015508693,0.99459058,0.5
0.013543375,0.995536089,0.5
0.016639959,0.994700491,0.5
0.015161051,0.995074332,0.5
0.015176967,0.994964361,0.5
0.015651034,0.994832456,0.5
0.016033188,0.994876444,0.5
0.013657961,0.995470166,0.5
0.014011651,0.99538219,0.5
0.014756782,0.994678497,0.5
0.013754872,0.995074332,0.5
0.01383611,0.995052338,0.5
0.015147274,0.994678497,0.5
0.013367748,0.995624065,0.5
0.013591291,0.995250225,0.5
0.014322139,0.994788468,0.5
0.013505134,0.995184302,0.5
0.012684186,0.995777965,0.5
0.013672209,0.995426178,0.5
0.01164901,0.996261775,0.5
0.012385753,0.995997906,0.5
0.013109186,0.99564606,0.5
0.011288203,0.996107817,0.5
0.012864695,0.995426178,0.5
0.012824512,0.995777965,0.5
0.012069166,0.995865941,0.5
0.011385716,0.996723533,0.5
0.012445766,0.995580077,0.5
0.012100201,0.996415675,0.5
0.011757559,0.995624065,0.5
0.01188577,0.995931923,0.5
0.010775497,0.99628377,0.5
0.01108542,0.996129811,0.5
0.012868497,0.995712042,0.5
0.011140743,0.996063828,0.5
0.009241343,0.996855497,0.5
0.011928765,0.995887935,0.5
0.010247372,0.996393681,0.5
0.012065017,0.996195793,0.5
0.011476639,0.99628377,0.5
0.009731987,0.996679544,0.5
0.009707905,0.996943414,0.5
0.010637023,0.996437669,0.5
0.010522089,0.996459663,0.5
0.009414423,0.997009397,0.5
0.008737514,0.99729526,0.5
0.009553259,0.996767521,0.5
0.009385347,0.996899486,0.5
0.010184621,0.996701539,0.5
0.010200787,0.996437669,0.5
0.008806909,0.996943414,0.5
0.008829697,0.997031391,0.5
